Meraný uhlík (%);Predikovaná teplota (°C);Predikovaný uhlík (°C)
0.068;1662.3127977178292;0.056023318714457745
0.032;1639.0998284797713;0.12888102564446025
0.025;1640.0426478425074;0.012474146458618565
0.055;1666.2271041949487;0.08235440661961653
0.051;1659.4359458687939;0.06302008943719574
0.054;1666.8910261866772;0.007499416522014565
0.032;1641.8997781773446;0.04285416807692642
0.038;1650.3062057610923;0.039041563137844806
0.048;1638.9000613737835;0.11655014248080002
0.04;1598.100815797105;0.009138502725073619
0.046;1674.099960598905;0.04019901174914366
0.048;1657.667247670629;0.0376812675927017
0.046;1657.7023543750968;0.04346876626882658
0.048;1656.4078328960986;0.0027798444687316265
0.03;1666.0209823340417;0.0034035166697547192
0.039;1656.5505128053378;0.05804653258686805
0.036;1655.3458763211413;0.06282334914444941
0.025;1672.900091554456;0.058921650914541004
0.035;1673.5326908118598;0.05474776213155473
0.03;1669.5456234256094;0.04210350954271365
0.043;1665.9000090877516;0.03576696597971411
0.053;1651.4267159590677;0.029309718766129048
0.056;1659.4936068527365;0.0526543051303341
0.058;1666.7492830036222;0.06851510141192653
0.045;1644.3740492648944;-0.006431745806089226
0.044;1655.1000002149553;-0.0017344497221499083
0.028;1677.4851000282667;0.05749981212509907
0.053;1646.3537378151327;0.019299716384158658
0.055;1654.4060297041062;0.013569914193474461
0.052;1651.8999862990836;0.0846224920741701
0.063;1650.0999548808675;0.056000911353909846
0.042;1657.4059436406853;0.045684167086404784
0.132;1650.0998418793195;0.11740832369879302
0.051;1652.9351210932907;0.023853706856739113
0.043;1646.1000115330953;0.08046517135517829
0.036;1670.0997620613693;0.10050548035749475
0.037;1672.265084149039;0.11866194571631185
0.054;1652.300625052757;0.01631048160811223
0.051;1637.0997567113175;0.04805236430697886
0.06;1652.8996338774393;0.09347838159622747
0.043;1654.7314003818067;-0.0067688178212133715
0.031;1657.89979958569;0.038199625319750255
0.035;1650.3683474139132;0.027675679525693123
0.044;1662.89981652261;0.05186086518813872
0.054;1654.6115095761318;0.06696301382250051
0.039;1648.5917908196375;-0.03089645430978949
0.041;1641.285685192573;0.05074432859846985
0.035;1646.464940548215;0.01817194591884476
0.034;1658.099991488423;0.04625929410409256
0.052;1621.8999832184875;0.08450312261210143
0.044;1629.1001515533762;0.03845977305802735
0.062;1576.9000540016634;0.09780757378386824
0.074;1603.09974174638;0.014434618934752022
0.043;1637.5769656292193;0.039431385542501265
0.058;1646.8998383985368;0.05548225295036864
0.048;1661.5981241346237;-0.001237099542340206
0.028;1669.0996420680158;0.04687748421903014
0.041;1660.099645309279;0.059413478087035135
0.045;1678.900049831588;0.0674283887094418
0.024;1671.1001694048118;0.00427014316406972
