Èas (s);CO (%);CO2 (%);H2 (%);CH4 (%);O2 (%);Teplota (°C)
132;3.540204;14.890604;5.833916;2.654057;11.114167;902.98
133;3.28;15.068655;6.093381;2.696147;10.96579;897.42
134;3.829757;15.214725;6.228946;2.756778;10.701877;890.01
135;3.743109;14.949765;5.982257;2.716913;10.689855;880.33
136;3.268282;14.070647;5.286857;2.487768;11.068252;864.87
137;2.627362;12.958201;4.494641;2.160301;11.681801;846.47
138;2.065658;11.807396;3.738417;1.821556;12.248274;826.07
139;1.652613;10.502999;3.721372;3.328;12.711958;799.92
140;1.685821;8.974391;4.457169;13.653294;12.772931;767.23
141;1.804825;7.451289;5.228556;26.779485;12.713833;732.65
142;1.987441;6.270818;5.813891;35.22345;12.371518;702.89
143;2.35401;5.741451;6.35424;39.499127;11.512929;678.83
144;2.78646;5.583733;6.423523;41.551628;10.44;662.58
145;3.0638;5.947593;6.111692;34.115594;9.656972;645.27
146;3.35959;6.590044;5.864953;24.801157;8.766637;629.03
147;3.598227;7.132566;5.77;20.647975;8.164197;615.12
148;3.699085;7.224694;6.122577;21.039467;8.102773;601.28
149;3.692231;7.177403;6.303452;24.710911;8.20139;590.42
150;3.581092;7.251042;6.444189;28.929124;8.272807;610.74
151;3.755316;7.612174;6.864855;28.341104;7.645618;649.22
152;4.171764;8.181482;7.361578;24.572686;6.509188;688.81
153;4.655041;8.861803;8.184002;20.306979;5.211691;721.04
154;5.316058;9.483539;9.061833;13.3205;3.928186;738.68
155;5.822491;9.927441;9.384213;6.575093;2.911795;762.53
156;5.922097;10.046273;9.354004;3.599235;2.559694;794.17
157;5.755878;10.039254;8.865287;3.43;2.561512;841.16
158;5.229404;10.567909;7.811556;2.938402;2.387085;893.67
159;5.101136;11.572586;8.106195;3.050648;2.035376;934.47
160;5.498026;12.015375;9.543363;3.833098;1.733205;960.29
161;5.826439;12.556822;9.367204;4.557702;1.381117;974.04
162;6.313894;13.784687;10.27595;4.992327;0.823076;984.35
163;7.714666;14.076783;11.715896;5.876595;0.575716;995.88
164;8.607238;13.955382;11.507814;6.076404;0.523049;1014.56
165;9.03307;14.51397;10.50772;5.412608;0.275478;1029.08
166;9.604998;15.113931;11.408425;4.96116;0.009132;1038.22
167;9.978293;15.08839;12.707573;5.271815;0.22658;1016.71
168;9.055806;14.85119;12.868264;5.391665;1.68393;990.31
169;7.417032;13.804003;11.618297;4.985104;3.888924;977.11
170;5.620711;12.390883;9.686079;4.33948;6.064426;948.94
171;3.848271;11.411434;7.349284;3.598752;7.550011;917.65
172;2.278654;11.390179;3.915163;2.546656;7.748701;887.52
173;1.609193;12.253421;1.728556;1.468416;6.39896;861.21
174;1.832737;13.934311;1.42581;1.262173;4.33721;836.17
175;2.314577;15.897385;1.937553;1.494624;2.348476;811.67
176;2.859025;17.361408;2.692582;1.830025;0.992983;786.27
177;3.479815;17.716595;3.616652;2.23815;0.684131;776.65
178;3.966023;17.637901;4.223848;2.52495;0.697935;770.09
179;4.327371;17.515241;4.643644;2.656142;0.670141;764.23
180;4.723702;17.419591;5.11022;2.806472;0.602634;761.55
181;5.101721;17.31589;5.601449;2.981218;0.59118;759.36
182;5.326205;17.240516;5.918544;3.092878;0.598946;755.51
183;5.405071;17.226725;6.061581;3.132985;0.602652;750.78
184;5.350639;17.238074;5.995447;3.103547;0.60884;746.4
185;5.285323;17.250129;5.909628;3.055086;0.604319;747.8
186;5.291369;17.257549;5.872293;3.067522;0.594975;758.21
187;5.331953;17.262254;5.824852;3.067459;0.569321;770.98
188;5.452979;17.240395;5.923407;3.076856;0.530747;783.59
189;5.637128;17.218218;6.137389;3.109409;0.488277;798.13
190;5.824564;17.204567;6.358213;3.118666;0.441542;822.97
191;5.978378;17.225053;6.591335;3.087143;0.39359;851.21
192;6.107854;17.226248;6.725292;3.041454;0.353585;877.16
193;6.158592;17.252907;6.772891;2.991441;0.308204;900.05
194;6.159927;17.319197;6.787703;2.945549;0.258666;921.73
195;6.118078;17.422452;6.780882;2.932121;0.210252;935.74
196;6.034558;17.510594;6.692897;2.908863;0.161512;936.43
197;5.942201;17.605253;6.701101;2.913568;0.114251;931
198;5.914009;17.701183;6.732647;2.970854;0.081414;922.75
199;5.901706;17.773602;6.809809;3.049503;0.058472;909.43
200;5.889804;17.810212;6.897286;3.163173;0.110312;883.55
201;5.739976;17.826946;6.795521;3.215144;0.21586;850.98
202;5.507525;17.828726;6.604921;3.208315;0.34888;818.26
203;5.208079;17.789332;6.370954;3.140233;0.517547;786.44
204;4.863827;17.73881;6.01388;3.035528;0.717682;755.03
205;4.476284;17.68237;5.58003;2.852696;0.871176;727.17
206;4.209747;17.631009;5.311084;2.737971;1.002965;704.45
207;4.00812;17.580399;5.091349;2.681193;1.144304;686.88
208;3.839968;17.538976;4.889757;2.662055;1.272592;672.36
209;3.704827;17.499925;4.728059;2.676526;1.388834;660.94
210;3.590629;17.455412;4.583868;2.722266;1.515817;652.08
211;3.462578;17.411541;4.397454;2.752327;1.644364;646.01
212;3.338093;17.366265;4.232795;2.776869;1.759869;642.62
213;3.217105;17.326718;4.080207;2.805875;1.886037;641.72
214;3.074685;17.270487;3.894139;2.799199;2.030777;642.14
215;2.90982;17.212731;3.681154;2.758647;2.181726;642.21
216;2.740879;17.126833;3.452609;2.44;2.342652;642.24
217;2.561448;17.019477;3.19321;2.621605;2.522506;641.91
218;2.378959;16.897796;2.906242;2.517269;2.693352;641.64
219;2.205078;16.77904;2.588455;2.408991;2.834816;642.5
220;2.061653;16.705814;2.309626;2.300751;2.884931;643.27
221;1.969378;16.685399;2.129835;2.236242;2.908062;643.84
222;1.91096;16.67459;2.012567;2.222674;2.93287;644.67
223;1.865881;16.653576;1.923879;2.222674;2.964765;646.04
224;1.831573;16.635767;1.893437;2.239599;3.000711;647.74
225;1.803483;16.582703;1.862679;2.262565;3.108267;650.36
226;1.757018;16.492132;1.785721;2.259297;3.221617;653.34
227;1.700254;16.404098;1.692547;2.231245;3.32663;656.41
228;1.651818;16.329486;1.615365;2.207033;3.417573;659.42
229;1.622056;16.265556;1.551245;2.199226;3.505946;661.42
230;1.591613;16.206521;1.51268;2.200688;3.584891;663.48
231;1.559918;16.14193;1.470971;2.196619;3.670851;665.93
232;1.537252;16.099648;1.425727;2.195881;3.723906;668.6
233;1.515768;16.06803;1.391947;2.196085;3.764104;671.18
234;1.494939;16.037606;1.376719;2.194699;3.80362;673.76
235;1.480283;15.992788;1.20161;2.189625;3.861987;675.89
236;1.473963;15.967515;0.920053;2.192397;3.899348;677.65
237;1.466079;15.938904;0.651879;2.190159;3.935409;679.58
238;1.467504;15.918246;0.387368;2.196047;3.969908;681.74
239;1.46744;15.899528;0.116976;2.193694;3.996868;683.63
240;1.304807;14.303785;0.305988;1.999124;5.710971;685.21
241;1.240037;13.7395;0.607158;1.943962;6.1517;686.26
242;1.193541;13.480008;0.845937;1.909361;6.33294;687.32
243;1.134817;13.211875;1.061456;1.859806;6.515148;687.74
244;1.074835;12.92786;1.280652;1.810137;6.722007;687.66
245;1.173036;14.223852;1.17296;1.940795;5.226687;686.99
246;1.174606;14.49681;1.064039;1.937222;4.995819;685.86
247;1.156098;14.457256;1.028179;1.907644;5.040543;684.36
