Tavba Ë.;Sur. Fe - Akosù;02 - Skut. mnoû. (Nm3);02 - Trv. f˙k. (s);Sur. Fe - Teplota (∞C);Sur. Fe - Hmotnosù (kg);C - Konc. v Fe (%);Si - Konc. v sur. Fe (%);Mn - Konc. v sur. Fe (%);P - Konc. v sur. Fe (%);S - Konc. v sur. Fe (%);Ti - Konc. v sur. Fe (%);ärot v·ha (kg);V˝öka k˙peæa (m);CaO - V·ha (kg);Dol. v·p. - V·ha (kg);MgCO3 - V·ha (kg);Bazicita tav.;Pomer CaO / SiO2;Fe - Mn. v troske (% hm.);MgO - Mn. v troske (% hm.);Cr - Mn. v oceli (%);Fe - V·ha v sur. Fe (kg);02 - Dofuk mn. (Nm3)
251;673;7926.383;964;1334.191;155000;4.427;0.431;0.529;0.066;0.002;0.013;34800;9.56;4519;3237;756;3.7;3.342;17.09;8.98;0.022;156100;0
252;673;8026.957;993;1316.012;153700;4.4;0.426;0.524;0.066;0.002;0.013;36100;9.56;5192;3151;652;3.8;3.388;16.36;9.09;0.022;156200;0
253;694;8114.517;976;1309.998;153400;4.463;0.428;0.52;0.066;0.002;0.013;36500;9.56;4518;3176;564;3.4;3.015;14.11;9.46;0.024;155800;0
254;673;8151.821;1025;1298.933;152100;4.563;0.428;0.51;0.064;0.002;0.012;36000;9.55;6058;3163;119;3.6;3.272;17.4;8.9;0.018;155300;483.645
255;673;8205.31;1012;1293.485;153300;4.419;0.425;0.542;0.074;0.002;0.016;38000;9.57;4520;3167;0;3.7;3.315;15.74;9.67;0.019;154200;0
256;673;8174.229;1009;1288.512;151800;4.444;0.422;0.3777;0.066;0.002;0.022;38100;9.56;4509;3005;0;3.8;3.427;16.25;9.39;0.019;154400;0
257;694;8253.477;1020;1292.217;154400;4.436;0.427;0.376;0.06;0.002;0.017;38600;9.58;4519;2994;0;4.1;3.772;18.74;8.78;0.023;156000;0
258;694;8205.22;1009;1273.469;152800;4.398;0.432;0.378;0.061;0.002;0.017;37700;9.57;4525;2974;0;4;3.681;17.58;8.52;0.034;156200;0
259;497;8412.092;1009;1316.035;153400;4.582;0.446;0.437;0.067;0.003;0.014;35300;9.56;5520;3126;0;3.8;3.471;17.04;9.64;0.023;154800;0
260;497;8476.354;1006;1296.554;153700;4.573;0.448;0.435;0.065;0.002;0.014;36900;9.57;5524;3125;0;3.8;3.447;17.01;9.18;0.021;154800;0
261;497;8228.619;994;1259.761;154300;4.337;0.682;0.45;0.07;0.002;0.027;35600;9.56;6105;3606;0;3.6;3.287;15.4;9.46;0.022;156200;0
262;597;8047.793;968;1234.895;150900;4.25;0.69;0.458;0.072;0.002;0.027;35400;9.54;6183;3646;0;3.4;3.097;14.5;9.1;0.023;156200;0
263;597;8026.89;966;1330.245;154500;4.577;0.421;0.386;0.062;0.002;0.015;37300;9.57;5526;3212;0;3.8;3.502;16.19;8.77;0.021;155200;0
264;596;8036.114;959;1276.308;150900;4.41;0.382;0.395;0.062;0.003;0.013;34900;9.54;6221;2962;0;3.9;3.466;18.03;10.45;0.015;155100;0
265;596;8300.938;987;1330.988;152000;4.564;0.564;0.49;0.071;0.004;0.017;40000;9.57;6224;3384;0;3.9;3.388;17.94;10.36;0.017;152500;0
266;596;8323.365;1015;1233.472;159200;4.346;0.371;0.402;0.069;0.004;0.012;32200;9.58;6221;2962;0;3.7;3.42;17.26;8.76;0.02;160000;0
267;596;8501.873;1075;1243.099;156600;4.307;0.538;0.44;0.071;0.004;0.017;35400;9.58;6885;3207;0;3.9;3.398;18.19;10.22;0.018;157200;0
268;596;8264.885;974;1245.92;166600;4.353;0.306;0.363;0.066;0.004;0.01;25600;9.58;6216;3003;0;3.9;3.442;17.95;10.26;0.019;167300;0
269;592;8039.91;961;1266.283;168400;4.337;0.153;0.301;0.071;0.013;0.006;23700;9.58;5220;2877;0;4.3;3.996;18.14;8.83;0.03;169300;0
270;592;7913.841;938;1223.968;159500;4.321;0.297;0.295;0.06;0.014;0.01;25500;9.54;4527;2856;0;4;3.62;17.81;9.28;0.022;161300;0
271;592;8205.222;987;1260.592;152300;4.518;0.384;0.359;0.071;0.013;0.016;35900;9.55;4524;2976;725;3.9;3.502;17.55;9.41;0.025;154200;0
272;592;8005.319;1000;1252.741;143400;4.21;0.7;0.458;0.069;0.013;0.03;42700;9.53;4717;3305;532;4.4;4.113;17.87;9.6;0.037;147200;0
273;592;8050.026;989;1266.522;147200;4.22;0.576;0.389;0.071;0.012;0.022;40400;9.54;4525;3139;647;4.4;4.063;18.32;9.79;0.028;149200;0
274;684;8203.954;988;1247.893;154800;4.285;0.386;0.348;0.066;0.003;0.013;32900;9.55;5519;2920;803;4.9;4.622;17.58;8.84;0.035;157200;0
275;684;7758.701;954;1262.03;144900;3.974;0.587;0.369;0.07;0.003;0.017;42700;9.54;5519;3099;0;4.9;4.634;17.25;8.6;0.016;148200;739.498
276;684;7946.816;933;1199.114;146400;4.313;0.471;0.347;0.068;0.004;0.013;38900;9.53;5519;2952;0;4.8;4.531;17.55;8.7;0.018;150300;0
277;684;7854.534;946;1298.82;151200;4.138;0.543;0.394;0.071;0.003;0.017;39900;9.57;5516;3126;0;4.9;4.647;17.77;8.67;0.019;152300;0
278;684;8174.456;962;1267.719;152200;4.395;0.446;0.386;0.069;0.003;0.012;38600;9.57;5527;2995;0;5.1;4.959;17.81;7.95;0.016;154400;0
279;684;7919.369;953;1283.344;151500;4.236;0.553;0.389;0.072;0.003;0.018;38600;9.57;5520;3058;0;3.9;3.733;19.86;7.52;0.017;152200;519.049
280;684;7999.246;951;1275.605;151800;4.297;0.702;0.442;0.078;0.002;0.019;38200;9.57;5523;3271;0;3.8;3.649;19.97;7.53;0.025;155000;0
281;684;7980.791;950;1271.297;153400;4.276;0.413;0.386;0.071;0.002;0.015;37900;9.57;5519;2899;0;4.1;3.862;19.25;7.8;0.024;154300;0
282;684;8044.498;941;1296.389;153900;4.436;0.428;0.399;0.069;0.002;0.017;38000;9.58;5519;3039;760;3.9;3.738;18.54;7.73;0.029;154400;0
283;684;7971.481;932;1280.895;148100;4.261;0.707;0.446;0.071;0.003;0.019;43900;9.57;5887;3485;533;4.4;4.121;18.43;8.73;0.024;148500;0
284;684;7927.251;952;1293.475;149401;4.333;0.528;0.424;0.072;0.003;0.019;41900;9.57;5524;3237;481;4.5;4.195;17.53;8.73;0.035;150400;0
285;685;8143.99;962;1283.283;159700;4.399;0.359;0.366;0.068;0.002;0.015;29500;9.56;5523;3041;0;4.2;3.814;18.84;9.28;0.023;159800;0
286;685;8380.287;1049;1265.251;152700;4.189;0.661;0.404;0.073;0.003;0.019;39700;9.58;5744;3368;0;4.5;4.001;18.1;10.79;0.018;153000;0
287;685;8301.759;978;1301.596;154600;4.285;0.587;0.491;0.074;0.003;0.017;35000;9.56;5526;3361;604;4.4;3.999;18.8;9.28;0.027;156600;0
288;685;8145.308;949;1294.357;161001;4.323;0.322;0.384;0.071;0.003;0.013;28700;9.56;5522;3079;1120;3.8;3.523;19.51;8.62;0.027;162000;543.526
289;685;8238.023;969;1299.127;152300;4.415;0.493;0.491;0.073;0.004;0.015;38400;9.57;5521;3237;0;4;3.613;19.18;9.06;0.026;154100;0
290;685;8217.888;963;1264.031;162200;4.091;0.334;0.436;0.071;0.003;0.009;28600;9.57;5520;3043;0;3.9;3.55;18.67;9.47;0.024;162100;0
291;593;8183.955;960;1256.623;152800;4.493;0.349;0.423;0.077;0.003;0.015;36100;9.56;5517;2992;0;4;3.59;18.8;9.87;0.019;155000;0
292;593;8115.215;958;1257.258;160500;4.358;0.159;0.324;0.069;0;0.006;30000;9.57;5516;2789;0;3.9;3.53;19.1;8.97;0.021;162500;0
293;593;8201.173;958;1292.854;154400;4.425;0.322;0.457;0.074;0.004;0.011;36300;9.57;5521;3058;632;4.1;3.789;19.09;8.74;0.031;155800;400.641
294;593;8029.379;967;1317.732;152700;4.45;0.365;0.494;0.072;0.002;0.014;37300;9.56;5521;3126;578;4.5;4.386;21.27;7.67;0.023;154100;0
295;594;8255.192;978;1284.002;152900;4.463;0.356;0.398;0.073;0.003;0.016;37400;9.56;5521;3010;574;4.7;4.675;21.48;8;0.022;154400;0
296;594;8155.908;979;1275.639;152800;4.329;0.429;0.424;0.069;0.003;0.019;37000;9.56;5517;3077;551;4.7;4.61;21.06;7.8;0.026;154300;0
297;594;8105.006;998;1298.407;147200;4.399;0.493;0.45;0.071;0.002;0.022;38900;9.54;5520;3025;0;4.7;4.621;21.42;8.15;0.02;150200;0
298;594;8101.005;946;1273.141;154200;4.317;0.327;0.423;0.066;0.003;0.012;34000;9.55;5515;2919;0;4.7;4.528;20.5;9.03;0.019;157700;0
299;594;8102.645;967;1292.561;148700;4.285;0.506;0.456;0.074;0.003;0.024;38400;9.54;5518;3140;558;5.9;5.814;16.8;8.91;0.02;152200;0
300;594;8057.161;960;1338.585;143800;4.59;0.892;0.535;0.071;0.003;0.045;44300;9.55;6844;4175;0;4.6;4.395;18.59;8.83;0.025;145400;0
301;594;8096.07;983;1326.546;141400;4.481;0.877;0.476;0.064;0.002;0.047;48800;9.56;7092;3795;0;3.3;3.028;17.17;7.92;0.016;144700;347.057
302;595;8122.06;954;1261.065;154600;4.337;0.538;0.501;0.072;0.002;0.019;35000;9.56;5517;2911;0;4.6;4.41;18.69;8.1;0.019;157200;0
303;595;8011.902;937;1348.283;147600;4.506;0.405;0.448;0.058;0.002;0.023;43300;9.57;5523;2765;0;3.7;3.276;16.52;9.48;0.021;149200;0
304;595;8028.086;966;1329.589;141900;4.374;0.82;0.458;0.055;0.002;0.031;47500;9.55;6787;3593;0;3.5;3.228;17.17;8.32;0.017;145500;0
305;643;8100.086;954;1312.971;155800;4.326;0.32;0.392;0.058;0.002;0.017;35500;9.57;5522;2780;0;3.7;3.487;16.92;7.65;0.019;157100;0
306;643;8167.236;960;1323.133;155000;4.469;0.348;0.339;0.056;0.002;0.02;35100;9.57;5521;2784;0;4;3.735;17.81;8.51;0.019;157200;0
307;643;8055.706;964;1309.71;148400;4.296;0.632;0.449;0.061;0.002;0.03;39700;9.55;5519;3065;0;0;0;0;0;0.019;152000;0
308;643;8044.321;967;1308.608;147400;4.515;0.636;0.284;0.046;0.003;0.025;43100;9.56;5534;2983;0;4;3.633;17.45;9.03;0.018;149400;0
309;643;8071.469;972;1230.308;146300;4.098;0.698;0.507;0.065;0.002;0.028;41000;9.54;6102;3309;0;3.7;3.316;16.76;9.11;0.021;149800;442.05
310;643;8236.17;983;1342.687;147500;4.389;0.812;0.437;0.057;0.002;0.045;44000;9.57;6649;3693;801;4.1;3.827;17.19;8.63;0.016;148000;446.931
311;694;8578.8;1038;1340.677;140100;4.397;1.059;0.436;0.056;0.002;0.059;50400;9.55;7691;4417;0;4;3.589;18.34;8.9;0.018;151000;0
312;694;8465.571;1053;1357.376;141301;4.516;0.819;0.381;0.051;0.002;0.046;51100;9.56;6123;3724;0;3.9;3.451;17.3;10.06;0.023;142300;0
313;694;8492.98;1017;1306.063;146700;4.318;0.843;0.4;0.053;0.002;0.032;45800;9.56;6413;3806;0;4.1;3.768;17.77;8.71;0.036;147700;0
314;694;8130.417;979;1352.207;150100;4.452;0.397;0.344;0.047;0.003;0.026;42200;9.56;4515;2730;0;4.5;4.264;17.72;8.26;0.046;150600;0
315;694;8188.21;982;1318.942;144500;4.32;0.719;0.31;0.049;0.008;0.028;47300;9.55;5500;3318;0;4.8;4.575;17.16;8.36;0.029;146700;0
316;694;8224.207;1021;1315.341;140800;4.327;1.011;0.29;0.049;0.008;0.038;50900;9.56;8830;4320;0;3.5;3.239;17.59;8.29;0.021;142400;0
317;694;8089.044;1020;1350.644;141100;4.64;1.26;0.25;0.045;0.003;0.047;50200;9.56;8676;5411;0;2.9;2.56;15.59;8.88;0.018;142200;0
318;697;8248.473;1020;1357.078;141400;4.536;1.25;0.272;0.046;0.004;0.047;50700;9.57;9722;5720;0;3.2;2.84;17.09;9.03;0.018;142500;0
319;697;8152.141;983;1300.534;161801;4.115;0.236;0.362;0.056;0.004;0.011;30100;9.58;5574;2834;798;3.7;3.34;18.21;9.29;0.02;162800;0
320;697;8005.376;963;1274.395;161300;4.133;0.353;0.351;0.056;0.003;0.015;30000;9.57;5577;2895;0;2.6;2.282;15;8.65;0.018;163000;0
321;697;8204.452;989;1254.351;160200;4.246;0.325;0.401;0.055;0.003;0.019;30800;9.57;5580;3008;1128;3.9;3.487;17.5;9.2;0.02;162700;0
322;697;7958.494;963;1374.223;148800;4.487;0.545;0.285;0.047;0.003;0.02;42500;9.57;5579;3038;0;3;2.593;16.52;9.08;0.019;150200;0
323;697;8039.294;992;1325.752;152000;4.57;0.62;0.228;0.041;0.004;0.024;37900;9.56;6738;3126;0;4;3.655;17.94;9.04;0.023;154100;0
324;694;8182.553;993;1319.797;149101;4.502;0.617;0.33;0.054;0.003;0.022;42400;9.57;4523;3064;0;3.3;2.876;18.13;9.63;0.022;150100;0
325;694;8444.135;1023;1264.6;153200;4.315;0.445;0.445;0.066;0.003;0.024;34400;9.55;4524;2770;0;0;0;0;0;0.028;158200;461.64
326;591;8142.08;975;1353.986;152100;4.654;0.571;0.483;0.064;0.013;0.028;35100;9.52;4518;3070;0;3.7;3.297;18.29;9.64;0.028;154600;0
327;591;8055.265;959;1356.513;145100;4.618;0.524;0.459;0.062;0.013;0.026;43000;9.55;4523;2832;0;3.7;3.252;18.98;9.74;0.017;149300;392.091
328;591;8070.828;977;1324.441;150200;4.513;0.387;0.462;0.055;0.013;0.019;40000;9.54;4524;2856;0;3.8;3.337;18.65;9.71;0.021;152200;0
329;591;8021.554;970;1327.995;152800;4.506;0.375;0.434;0.059;0.014;0.012;38500;9.55;4533;2774;0;3;2.786;17.36;7.45;0.032;154200;0
330;683;8015.914;965;1311.005;150500;4.605;0.429;0.439;0.062;0.002;0.021;40000;9.57;5525;2818;0;3.7;3.276;18.08;9.9;0.024;152200;0
331;698;8376.349;1013;1327.55;152700;4.631;0.416;0.407;0.057;0.039;0.022;38200;9.57;4521;2776;0;3.1;2.86;17.77;7.17;0.02;154200;0
332;686;8025.482;959;1273.663;151700;4.265;0.644;0.436;0.063;0.002;0.029;37900;9.56;5544;2975;0;3.2;2.95;17.73;7.48;0.022;154300;0
333;686;8285.494;995;1319.612;153200;4.569;0.29;0.298;0.052;0.003;0.013;37900;9.57;5518;2568;0;5.2;5.075;21.85;7.49;0.019;155000;0
334;589;8248.871;1025;1306.139;158800;4.395;0.288;0.31;0.053;0.012;0.015;32600;9.56;0;2659;0;4.8;4.657;20.79;7.4;0.018;159600;0
335;686;8202.637;990;1315.671;162500;4.499;0.35;0.344;0.051;0.003;0.019;30800;9.64;5522;2692;0;4.2;3.847;19.59;8.52;0.025;162700;0
336;686;8207.626;966;1290.254;151100;4.445;0.5;0.352;0.056;0.003;0.026;30000;9.62;5518;2733;0;3.7;3.244;19.19;9.62;0.018;152400;0
337;686;8113.392;965;1289.282;153601;4.366;0.44;0.345;0.055;0.003;0.014;38300;9.58;5518;2661;0;3.7;3.411;18.61;7.8;0.019;154600;0
338;686;8145.78;1007;1327.279;151701;4.547;0.541;0.311;0.052;0.002;0.026;39700;9.57;5520;2780;0;4.6;4.253;20.22;8.68;0.024;152700;0
339;686;8291.165;983;1291.01;147400;4.406;0.574;0.312;0.052;0.002;0.02;37100;9.53;5519;2734;0;3.6;3.18;16.32;9.4;0.02;154400;0
340;686;8149.189;982;1261.824;137500;4.227;0.982;0.315;0.08;0.002;0.028;47100;9.52;7943;3843;0;3.8;3.413;17.26;9.51;0.017;142200;0
341;686;8043.949;1002;1236.223;139401;4.228;0.966;0.314;0.078;0.003;0.028;46800;9.53;8180;3888;0;3.4;3.135;18.15;7.61;0.021;144400;0
342;686;8087.778;980;1298.589;151900;4.433;0.557;0.429;0.061;0.042;0.02;40700;9.58;5517;2822;0;3.1;2.829;13.32;8.24;0.02;153000;0
343;663;8507.699;1017;1291.11;148400;4.417;0.558;0.43;0.061;0.002;0.02;40000;9.55;5515;2840;1043;3.5;3.17;16.25;8.42;0.02;152200;0
344;663;8025.922;967;1304.18;152000;4.479;0.405;0.275;0.052;0.003;0.018;40300;9.58;5517;2644;376;3.3;3.009;14.74;8.7;0.021;152700;0
345;663;8098.85;1003;1295.634;151101;4.443;0.407;0.276;0.052;0.003;0.018;40500;9.57;5515;2602;0;3.3;2.928;14.39;9.25;0.019;152100;0
346;663;8168.678;966;1326.946;160700;4.309;0.309;0.308;0.052;0.002;0.012;30800;9.58;5518;2597;714;4.2;3.992;16.69;7.84;0.021;162500;0
347;247;8304.387;977;1285.002;161500;4.407;0.306;0.306;0.053;0.008;0.012;30400;9.58;4518;2641;0;3.5;3.259;14.74;8.42;0.021;163600;363.799
348;247;8283.82;994;1311.719;159400;4.528;0.429;0.285;0.056;0.012;0.017;30300;9.56;4519;2933;0;3.6;3.284;16.2;8.74;0.029;162200;0
349;959;8107.789;980;1276.537;158500;4.169;0.362;0.365;0.06;0.009;0.011;32200;9.56;4522;2800;0;3.3;3.003;14.51;8.7;0.024;160100;0
350;959;8077.508;970;1316.048;158800;4.286;0.408;0.339;0.062;0.008;0.013;32500;9.57;4520;2914;0;3.5;3.111;15.75;8.87;0.031;160600;0
351;959;8304.814;1045;1232.54;148300;3.995;1.75;0.405;0.104;0.009;0.032;42400;9.56;12028;6796;0;3.5;3.22;17.21;8.22;0.034;152800;440.972
352;959;7996.954;949;1315.204;158600;4.157;0.263;0.304;0.06;0.008;0.008;32300;9.56;4521;2672;0;3.7;3.328;17.84;9.45;0.023;160500;0
353;959;8068.198;950;1279.71;159900;4.189;0.29;0.277;0.051;0.009;0.01;32600;9.57;4522;2593;0;3.2;2.801;17.05;8.8;0.02;160300;0
354;959;8161.105;966;1276.09;159600;4.26;0.306;0.322;0.059;0.007;0.009;32700;9.57;4523;2753;0;3.2;2.855;16.99;9.26;0.02;160300;0
355;959;7975.804;958;1282.178;159400;4.211;0.252;0.328;0.062;0.008;0.007;30100;9.56;4523;2716;0;3.6;3.222;16.49;9.1;0.023;161900;0
356;589;8561.374;1022;1230.002;148500;4.562;0.805;0.362;0.059;0.013;0.025;41500;9.54;5956;3793;0;4.2;3.85;20.42;8.73;0.02;150300;0
357;589;8242.533;1022;1235.908;161601;4.007;0.316;0.335;0.06;0.014;0.009;31500;9.57;4520;2832;0;4;3.568;18.62;9.72;0.029;162600;0
358;694;8487.721;1052;1260.084;163901;4.041;0.89;0.393;0.078;0.008;0.019;30100;9.58;7402;4222;527;4.8;4.503;18.96;9.95;0.039;164900;565.316
359;694;8269.874;992;1229.589;140300;3.652;3.04;0.571;0.128;0.007;0.064;50700;9.55;359;7535;546;3.8;3.483;17.63;8.74;0.03;142300;358.601
360;694;8565.995;1015;1299.437;146301;4.414;0.829;0.403;0.067;0.008;0.024;45000;9.55;6182;3730;0;4;3.655;18.27;9.58;0.028;147300;439.049
361;594;8206.846;1005;1307.192;147001;4.544;0.749;0.379;0.064;0.003;0.027;41000;9.55;6295;3330;0;4;3.637;17.48;9.39;0.024;148000;471.002
362;594;8163.668;1003;1333.028;148401;4.494;0.667;0.343;0.062;0.002;0.021;43300;9.57;5706;3017;0;3.7;3.36;16.71;8.87;0.024;149400;0
363;594;8262.783;1021;1337.165;148100;4.614;0.679;0.341;0.059;0.002;0.023;42900;9.57;6336;3133;0;3.9;3.586;14.47;8.39;0.027;149300;0
364;594;8277.068;987;1321.24;145801;4.511;0.767;0.358;0.062;0.003;0.024;43400;9.55;6449;3429;0;3.7;3.416;15.76;8.57;0.036;146800;0
365;594;8454.985;1058;1251.086;139900;4.072;2.12;0.573;0.11;0.003;0.053;50300;9.56;13040;6950;0;3.1;2.806;15.29;8.26;0.026;140000;0
366;594;8476.548;1014;1336.313;148600;4.516;0.668;0.358;0.058;0.002;0.023;41300;9.56;5713;3073;533;3.1;2.823;14.91;8.62;0.034;150000;0
367;594;8423.125;989;1285.246;135201;4.284;1.461;0.434;0.084;0.002;0.042;50500;9.53;10973;5497;541;3.3;2.976;15.03;8.64;0.031;140200;0
368;594;8381.084;1027;1272.721;133800;4.027;2.5;0.555;0.119;0.003;0.064;54900;9.54;11171;7329;2682;2.3;2.01;11;9.03;0;136200;0
369;416;8506.523;1060;1323.99;150300;4.629;0.674;0.44;0.058;0.002;0.028;38500;9.56;6115;3134;0;2.3;1.925;10.55;9.73;0.027;150300;562.236
370;698;8345.854;1072;1281.366;133800;4.121;2.228;0.493;0.096;0.011;0.063;55100;9.53;12050;6940;1220;2.5;2.198;12.06;9.1;0.034;136400;510.282
371;673;8000.092;949;1313.926;153100;3.966;0.495;0.494;0.06;0.004;0.016;37900;9.57;5101;2866;0;3.3;2.907;16.5;9.58;0.027;154000;0
372;203;8274.978;1041;1369.074;140100;4.631;1.004;0.503;0.062;0.004;0.038;48200;9.54;8020;4323;0;3.1;2.779;16.53;8.65;0.03;144100;974.385
373;673;8292.466;1064;1298.247;137000;4.111;2.111;0.512;0.088;0.003;0.061;50800;9.54;8421;6928;819;3.1;2.729;15.05;8.27;0.021;141100;0
374;673;8344.263;1026;1311.515;137000;4.02;2.011;0.535;0.095;0.004;0.057;50300;9.53;12021;6862;0;3.1;2.731;15.01;8.41;0.023;140200;0
375;673;8479.687;1021;1376.747;143000;4.547;0.77;0.639;0.055;0.004;0.034;48800;9.57;5135;3391;0;2.7;2.397;14.69;8.13;0.031;152200;393.019
376;673;8347.815;1035;1326.782;139200;4.625;1.248;0.51;0.083;0.006;0.044;50500;9.55;9649;5044;0;3.3;3.047;16.52;7.44;0.026;140400;419.163
377;673;8350.271;997;1340.154;143600;4.386;0.843;0.626;0.062;0.006;0.033;48100;9.56;6939;4128;0;2.9;2.608;15.42;8.15;0.028;144800;480.142
378;694;8436.065;1046;1336.88;140300;4.6;0.99;0.56;0.074;0.009;0.036;50400;9.55;7063;4203;0;3.3;2.987;16.39;7.89;0.024;142500;0
379;694;8676.763;1039;1332.447;144100;4.617;0.733;0.626;0.066;0.008;0.028;47700;9.56;5515;3599;0;2.6;2.279;14.48;8.63;0.029;145500;0
380;589;8454.892;1047;1337.854;142000;4.6;0.836;0.58;0.058;0.013;0.032;47000;9.54;5871;3993;0;2.7;2.354;14.86;8.38;0.039;145400;0
381;589;8436.146;1052;1348.507;140201;4.604;0.818;0.688;0.062;0.013;0.033;48500;9.53;5833;3992;0;2.9;2.612;15.53;7.86;0.034;145200;0
382;589;8202.8;986;1335.116;142701;4.587;0.629;0.586;0.053;0.012;0.026;44000;9.52;4519;3230;0;3;2.692;15.68;7.94;0.029;147700;0
383;589;8416.782;1040;1329.743;144300;4.507;0.727;0.572;0.06;0.013;0.028;44000;9.53;5383;3687;0;3.1;2.747;15.94;8.72;0.036;146600;0
384;459;8230.75;1017;1338.792;142800;4.423;0.956;0.766;0.065;0.002;0.038;46700;9.55;7911;4479;0;3;2.66;15.37;8.64;0.025;143700;0
385;459;8336.063;1037;1349.442;142501;4.617;0.83;0.664;0.059;0.003;0.032;48000;9.56;7044;3959;0;3.3;2.982;15.99;8.28;0.022;143500;0
386;594;8000.73;956;1240.277;149100;3.801;0.513;0.412;0.062;0.002;0.017;37700;9.54;5527;2741;0;3.2;2.824;15.43;8.63;0.019;152000;469.287
387;594;8277.497;985;1350.481;141700;4.635;0.809;0.541;0.055;0.003;0.032;47200;9.55;6509;3577;543;3.6;3.27;15.51;7.88;0.025;142000;469.119
388;594;8411.784;1020;1337.947;142300;4.602;0.927;0.397;0.05;0.003;0.031;47300;9.56;8195;3896;0;3.1;2.801;17.25;7.92;0.024;143500;0
389;594;8196.691;1045;1333.914;145200;4.596;0.65;0.407;0.051;0.003;0.021;44000;9.55;7140;3004;0;2.8;2.548;17.76;7.4;0.018;146300;0
390;594;8251.769;998;1354.645;144600;4.38;0.73;0.377;0.046;0.002;0.025;45100;9.56;7906;3297;0;3.1;2.79;16.09;8.1;0.021;146700;0
391;594;8193.359;1043;1293.602;142000;4.493;0.764;0.467;0.053;0.003;0.026;44700;9.54;7787;3297;0;3.2;2.847;16.42;7.99;0.018;146800;0
392;594;7476.428;939;1228.217;141700;3.672;0.765;0.492;0.061;0.004;0.017;47400;9.55;7223;3340;0;3.1;2.791;15.91;8.36;0.015;145500;762.047
393;594;8105.844;1046;1240.135;143100;4.045;1.137;0.494;0.061;0.002;0.022;45100;9.55;9712;4770;0;3;2.725;15.54;8.13;0.017;146900;0
394;959;8411.463;1066;1335.205;144100;4.511;0.815;0.396;0.048;0.008;0.02;45400;9.55;6428;3851;0;3.2;2.838;15.84;8.03;0.019;147300;362.885
395;691;8443.988;1033;1310.214;152100;4.587;0.487;0.405;0.046;0.002;0.016;38100;9.56;5223;2736;0;3.4;2.975;16.22;9.55;0.018;152100;0
396;959;8320.178;1045;1325.3;144701;4.298;1.102;0.443;0.047;0.008;0.03;45600;9.55;8958;4670;292;3.3;2.868;19.45;8.19;0.018;145700;314.915
397;959;8247.319;989;1332.646;147300;4.562;0.719;0.409;0.05;0.008;0.022;42900;9.55;5107;3399;508;3.1;2.693;18.25;8.1;0.022;149300;0
398;959;8320.197;1004;1318.733;144300;4.55;0.731;0.419;0.049;0.007;0.023;46200;9.55;5211;3347;0;3.4;3.044;19.68;8.28;0.024;146500;0
399;959;8235.227;1012;1303.13;138900;4.391;1.293;0.522;0.057;0.006;0.048;49700;9.54;9230;5382;0;3.5;3.046;17.57;8.76;0.027;142000;0
400;959;8242.912;1018;1327.38;143300;4.49;0.657;0.367;0.046;0.009;0.017;46300;9.55;5055;3226;0;3.5;3.062;18.12;8.75;0.02;146300;0
401;959;8303.036;1005;1330.401;144600;4.536;0.745;0.396;0.044;0.008;0.022;45800;9.55;5317;3414;0;3.2;2.835;15.8;8.22;0.024;148100;0
402;693;8203.651;996;1317.738;144100;4.65;0.815;0.363;0.046;0.004;0.022;47400;9.56;5639;3891;0;3.2;2.793;17.42;9.64;0.018;144400;553.126
403;698;8254.18;1013;1323.997;141100;4.322;1.132;0.505;0.055;0.012;0.041;50300;9.55;8021;4612;0;3.8;3.334;25.14;8.28;0.031;143000;0
404;561;8031.914;982;1330.71;150100;4.508;0.543;0.361;0.046;0.012;0.015;40000;9.55;4521;3358;0;3.3;2.883;17.64;9.65;0.021;150300;0
405;88;8345.037;1048;1317.415;141501;4.597;0.943;0.47;0.058;0.012;0.031;48000;9.54;6420;4713;0;3.4;2.896;17.67;9.59;0.019;142500;0
406;561;8002.124;967;1319.644;151001;4.309;0.473;0.398;0.049;0.011;0.012;40500;9.56;4518;3455;0;3.5;3.083;20.39;9;0.017;152000;0
407;561;8002.311;957;1336.151;148800;4.249;0.474;0.397;0.049;0.011;0.012;37900;9.53;4525;3338;0;3.6;3.142;17.62;8.97;0.019;152000;0
408;561;8091.059;999;1313.284;145600;4.516;0.84;0.426;0.051;0.012;0.027;41700;9.53;5431;4152;0;3.6;3.133;19.48;9.06;0.025;148600;0
409;561;8175.846;1004;1329.233;144400;4.566;0.828;0.42;0.052;0.002;0.027;42000;9.54;6812;4325;0;3.5;3.07;17.32;9.5;0.022;148000;0
410;497;8429.678;1021;1313.836;153200;4.626;0.869;0.467;0.052;0.002;0.031;38200;9.57;6898;4541;0;3.6;3.101;22.89;8.7;0.03;154300;459.189
411;497;7959.564;981;1304.291;145000;4.381;0.687;0.439;0.052;0.003;0.022;43000;9.55;5996;3464;0;3.6;3.119;18.47;9.37;0.032;147200;0
412;202;8069.873;999;1322.532;150100;4.462;0.419;0.383;0.046;0.002;0.014;38000;9.55;4522;3339;0;3.3;2.972;15.7;8.25;0.022;151600;0
413;497;8065.691;995;1332.734;147900;4.496;0.868;0.494;0.051;0.003;0.024;40000;9.55;7177;4416;0;3.5;3.06;16.8;9.66;0.021;150100;0
