Tavba è.;Teplota (°C);Uhlík (%)
630;1633;0.053
631;1683;0.061
632;1661;0.049
633;1649;0.056
634;1656;0.043
635;1673;0.043
636;1661;0.056
637;1633;0.034
638;1677;0.062
639;1679;0.049
640;1674;0.052
641;1673;0.046
642;1684;0.038
643;1685;0.041
644;1701;0.031
645;1680;0.039
646;1644;0.037
647;1655;0.044
648;1642;0.046
649;1632;0.043
650;1656;0.045
651;1639;0.042
652;1616;0.032
653;1639;0.048
654;1656;0.034
655;1684;0.047
656;1645;0.049
657;1676;0.045
658;1642;0.058
659;1664;0.052
660;1664;0.041
661;1678;0.032
662;1635;0.051
663;1656;0.046
664;1714;0.024
665;1644;0.067
666;1693;0.043
667;1585;0.047
668;1667;0.065
669;1636;0.044
670;1645;0.044
671;1627;0.073
672;1627;0.047
673;1640;0.045
674;1637;0.048
675;1673;0.039
676;1636;0.046
677;1645;0.037
678;1679;0.043
679;1683;0.036
680;1663;0.051
681;1658;0.056
682;1669;0.037
683;1653;0.052
684;1671;0.036
685;1662;0.046
686;1634;0.047
687;1703;0.032
688;1683;0.043
689;1666;0.035
690;1674;0.029
691;1671;0.034
692;1660;0.036
693;1685;0.055
694;1672;0.032
695;1658;0.037
696;1686;0.045
697;1638;0.047
698;1666;0.049
699;1649;0.039
700;1679;0.031
701;1649;0.041
702;1655;0.034
703;1673;0.037
704;1646;0.036
705;1673;0.04
706;1672;0.035
707;1645;0.035
708;1626;0.052
709;1663;0.043
710;1624;0.035
711;1643;0.047
712;1635;0.062
713;1649;0.042
714;1659;0.059
715;1658;0.042
716;1659;0.034
717;1622;0.048
718;1643;0.032
719;1670;0.03
720;1665;0.047
721;1680;0.034
722;1676;0.037
723;1673;0.039
724;1630;0.028
725;1662;0.031
726;1674;0.034
727;1641;0.041
728;1644;0.035
729;1645;0.048
730;1664;0.029
731;1678;0.029
732;1648;0.027
733;1649;0.058
734;1656;0.043
735;1639;0.05
736;1651;0.033
737;1702;0.049
738;1655;0.034
739;1654;0.046
740;1645;0.059
741;1686;0.045
742;1659;0.036
743;1650;0.037
744;1659;0.043
745;1629;0.049
746;1648;0.027
747;1665;0.03
748;1630;0.03
749;1671;0.033
750;1610;0.043
751;1620;0.031
752;1640;0.042
753;1676;0.027
754;1631;0.033
755;1665;0.033
756;1655;0.046
757;1685;0.025
758;1680;0.027
759;1660;0.033
760;1665;0.043
761;1652;0.038
762;1658;0.035
763;1653;0.048
764;1651;0.047
765;1646;0.044
766;1664;0.043
767;1641;0.038
768;1662;0.035
769;1652;0.045
770;1657;0.044
771;1672;0.048
772;1673;0.037
773;1621;0.052
774;1606;0.04
775;1654;0.039
776;1659;0.051
777;1681;0.038
778;1599;0.082
779;1707;0.029
780;1681;0.032
781;1675;0.041
782;1673;0.053
783;1629;0.034
784;1628;0.045
785;1626;0.041
786;1653;0.031
787;1648;0.035
788;1664;0.049
789;1673;0.031
790;1662;0.038
791;1624;0.048
792;1595;0.044
793;1669;0.037
794;1633;0.032
795;1687;0.03
796;1666;0.047
797;1688;0.032
798;1657;0.046
799;1637;0.028
800;1658;0.048
801;1664;0.033
802;1636;0.039
803;1669;0.035
804;1645;0.043
805;1645;0.051
806;1643;0.047
807;1648;0.069
808;1672;0.034
809;1628;0.063
810;1663;0.038
811;1631;0.042
812;1697;0.058
813;1687;0.034
814;1684;0.036
815;1691;0.036
816;1654;0.066
817;1658;0.034
818;1663;0.058
819;1690;0.051
820;1655;0.046
821;1647;0.05
822;1647;0.062
823;1615;0.057
824;1633;0.059
825;1622;0.049
826;1593;0.069
827;1676;0.042
828;1640;0.052
829;1625;0.042
830;1667;0.034
831;1662;0.047
832;1663;0.079
833;1659;0.082
834;1644;0.053
835;1681;0.038
836;1667;0.045
837;1673;0.047
838;1653;0.054
839;1662;0.069
840;1682;0.044
841;1673;0.052
842;1677;0.052
843;1641;0.049
844;1695;0.04
845;1662;0.069
846;1664;0.052
847;1669;0.035
848;1662;0.042
849;1658;0.05
850;1639;0.064
851;1622;0.051
852;1670;0.063
853;1654;0.062
854;1658;0.054
855;1636;0.048
856;1680;0.065
857;1638;0.054
858;1652;0.054
859;1659;0.055
860;1652;0.069
861;1655;0.045
862;1657;0.05
863;1688;0.084
864;1683;0.074
865;1683;0.057
866;1693;0.037
867;1677;0.036
868;1651;0.037
869;1690;0.037
870;1658;0.041
871;1696;0.048
872;1677;0.035
