Teplota (∞C);UhlÌk (%);! CO;! CO2;! H2;! O2;Teplota spalÌn (∞C);V˝öka trysky (cm);! O2 prietok;! Tlak dymnÌk;! Prietok spalÌn;! Akosù;! O2 akumulovanÈ
1301.208;4.143;0.202546299;31.7129631;0.264756948;4.658565044;722.378479;274.5;0;15.625;0;595;0
1279.12;4.405;1.70717597;31.45254707;0.329861104;3.472222328;691.059021;274.5;0;18.51849365;0;595;0
1322.938;4.587;6.336805344;33.59375;1.193576336;0.882523119;780.746521;274.5;0;5.208312988;0;595;0
1305.663;4.159;0.202546299;29.86111069;0.342881948;5.982349396;723.446167;274.5;0;12.73150635;0;595;0
1282.251;4.166;4.021990776;32.52314758;0.525173604;1.772280097;646.927063;274.5;0;0.578674316;0;595;0
1308.914;4.475;1.475694418;33.88310242;0.347222209;3.356481552;698.177063;274.5;0;3.472229004;0;704;0
1273.425;4.02;2.806712866;33.01504517;0.546875;1.186342597;627.708313;274.5;0;7.523132324;0;704;0
1315.578;4.546;11.54513931;32.58102036;1.245659709;0.260416657;557.239563;274.5;0;6.944458008;0;704;0
1321.104;4.654;2.459490776;28.81944466;0.299479157;2.401620388;769.001709;274.5;0;10.99536133;0;704;0
1292.651;4.191;4.745370388;30.38194466;0.442708343;7.682291508;476.805542;274.5;0;10.41668701;0;698;0
1277.622;4.367;9.548610687;32.55208206;1.9140625;0.679976881;706.006958;274.5;0;9.259277344;0;195;0
1315.254;4.494;12.21064854;33.30439758;1.202256918;0.933159709;524.496521;274.5;0;16.78240967;0;697;0
1325.654;4.435;6.568286896;34.11458206;0.833333313;1.164641261;580.017334;274.5;0;3.472229004;0;697;0
1312.272;4.494;19.29976845;28.47222137;1.866319418;1.092303276;385.694458;274.5;0;-16.78240967;0;195;0
1297.229;4.448;16.78240776;30.58448982;2.330729246;0.629340291;484.991333;274.5;0;-1.736083984;0;195;0
1295.094;4.327;1.446759224;32.37847137;0.494791657;14.15653896;418.4375;274.5;0;13.88891602;0;697;0
1343.11;4.304;23.35069466;26.01273155;2.8515625;0.354456007;534.461792;274.5;0;-56.13427734;0;697;0
1298.583;4.419;33.18865585;22.28009224;5.299479008;0.665509284;649.418396;274.5;0;-30.67132568;0;195;0
1272.2;4.311;32.87036896;19.73379707;10.703125;0.173611104;629.487854;274.5;0;6.365722656;0;195;0
1331.867;4.41;8.680555344;32.95717621;0.872395813;1.012731433;680.737854;274.5;0;1.736083984;0;195;0
1328.521;4.53;6.278934956;36.86342621;1.623263836;0.774016201;620.234375;274.5;0;6.365722656;0;647;0
1314.069;4.346;27.60416603;30.20833397;3.563368082;0.506365716;468.6197815;274.5;0;-33.56481934;0;647;0
1320.316;4.559;18.11342621;30.1504631;3.077256918;0.868055582;647.282959;274.5;0;-27.777771;0;647;0
1267.987;4.397;6.82870388;33.39120483;1.319444418;0.658275485;569.696167;274.5;0;1.736083984;0;645;0
1301.809;4.435;7.23379612;33.68055725;0.980902791;0.687210619;616.319458;274.5;0;19.67590332;0;669;0
1294.042;4.543;9.95370388;33.56481552;0.911458313;0.896990716;550.477417;274.5;0;12.73150635;0;669;0
1287.579;4.498;22.01967621;28.67476845;2.777777672;0.549768507;402.421875;274.5;0;-16.78240967;0;580;0
1315.249;4.503;28.67476845;28.81944466;2.621527672;1.128472209;570.407959;274.5;0;-20.83331299;0;580;0
1308.73;4.491;6.568286896;37.35532379;1.006944418;2.777777672;392.8125;274.5;0;12.73150635;0;580;0
1252.07;4.138;4.48495388;38.22338104;0.529513896;1.331018567;626.640625;274.5;0;4.05090332;0;240;0
1312.673;4.654;1.591435194;31.7129631;0.308159709;4.087094784;538.020813;274.5;0;24.30554199;0;590;0
1257.881;4.32;10.30092621;31.85763931;2.860243082;0.643807888;355.086792;274.5;0;3.472229004;0;562;0
1325.2;4.563;5.902777672;34.72222137;1.037326336;0.73061341;591.762146;274.5;0;12.152771;0;562;0
1322.689;4.448;4.832175732;39.90161896;0.520833313;1.728877306;493.177063;274.5;0;-9.259277344;0;562;0
1334.532;4.654;16.75347137;31.13426018;2.239583254;2.423321724;457.586792;274.5;0;13.31018066;0;413;0
1278.124;4.159;21.09375;29.28240776;3.585069418;0.716145813;623.4375;274.5;0;-1.157409668;0;413;0
1365.323;4.615;0;5.526620388;0.915798604;28.5;187.8125;274.5;0;30.09265137;0;413;0
1310.801;4.354;2.285879612;26.76504707;0.329861104;1.569733739;957.274292;274.5;0;-132.5231323;170428.1406;689;0
1334.034;4.534;24.91319466;25.05787086;4.887152672;1.265914321;550.833313;274.5;0;-37.03704834;82205.48438;689;0
1215.795;4.172;1.591435194;27.95138931;0.247395828;1.728877306;962.96875;274.5;0;-178.2407227;182816.4844;689;0
1281.347;4.26;22.71412086;25.20254707;4.097222328;0.622106493;764.730896;274.5;0;-1.736083984;80701.1875;689;0
1322.684;4.442;25.20254707;28.64583397;5.182291508;0.622106493;608.133667;274.5;0;-4.629638672;116892.8203;413;0
1301.889;4.349;20.13888931;31.53935242;2.730034828;4.513888836;388.1857605;274.5;0;13.31018066;70082.60156;622;0
1374.555;4.377;1.186342597;26.15740776;0.347222209;2.727141142;795.338562;274.5;0;-163.194458;189718.5625;590;0
1344.072;4.428;19.82060242;29.42708397;3.763020754;0.810185194;492.109375;274.5;0;-25.46295166;55393.57422;590;0
1286.676;4.325;7.725694656;33.1307869;1.588541627;0.643807888;635.538208;274.5;0;6.365722656;88.48813629;590;0
1337.015;4.452;11.89236069;31.65509224;1.866319418;0.484664351;502.430542;274.5;0;2.314819336;64507.85156;590;0
1325.182;4.423;0.63657409;32.69675827;0.290798604;3.985821724;630.911438;274.5;0;5.208312988;74241.54688;580;0
1296.203;4.322;21.4120369;30.29513931;2.495659828;0.245949075;730.564209;274.5;0;-51.50463867;70082.60156;580;0
1320.744;4.368;1.996527791;34.43286896;0.455729157;1.150173664;730.208313;274.5;0;9.83795166;53181.37109;625;0
1351.244;4.586;0.173611104;32.00231552;0.334201396;6.25723362;669.348938;274.5;0;6.365722656;88.48813629;625;0
1307.555;4.558;4.832175732;31.97337914;1.731770873;1.012731433;659.383667;274.5;0;-21.99072266;348629.0938;916;0
1260.594;4.453;4.456018448;30.0057869;0.824652791;1.019965291;709.565979;274.5;0;3.472229004;0;916;0
1336.699;4.48;14.17824078;32.98611069;2.868923664;0.614872694;594.965271;274.5;0;4.05090332;109813.7813;916;0
1324.517;4.329;0;19.87847137;0.303819448;9.447338104;684.652771;274.5;0;-134.2592773;131758.8281;624;0
1310.17;4.297;22.28009224;27.69097137;3.576388836;0.434027791;630.555542;274.5;0;-28.35650635;74860.96094;624;0
1314.16;4.337;11.60300922;33.39120483;2.209201336;0.622106493;618.810791;274.5;0;-4.05090332;70967.48438;684;0
1299.059;4.163;9.288194656;34.63541794;1.145833373;0.882523119;602.439209;274.5;0;9.83795166;65658.19531;592;0
1306.131;4.332;12.73148155;33.10185242;2.322048664;0.824652791;707.786438;274.5;0;-2.314819336;0;592;0
1314.07;4.259;11.4004631;31.88657379;2.1484375;0.224247679;741.953125;274.5;0;-8.101867676;0;592;0
1288.991;4.372;38.16550827;22.59837914;6.228298664;0.434027791;643.012146;274.5;0;-44.56018066;76896.1875;684;0
1307.682;4.366;32.26272964;27.54629707;5.208333492;0.217013896;605.998291;274.5;0;-50.92590332;69640.16406;582;0
1318.393;4.387;43.02661896;23.46643448;8.836805344;0.557002306;518.446167;274.5;0;-75.81018066;0;808;0
1254.17;4.074;18.2870369;32.17592621;4.053819656;0.73061341;441.215271;274.5;0;-24.30554199;70790.50781;808;0
1324.003;4.459;26.59143448;28.53009224;2.734375;0.911458313;433.0295105;274.5;0;9.259277344;64242.39063;24;0
1307.69;4.417;1.5625;32.8125;0.486111104;1.634837985;683.585083;274.5;0;1.736083984;74064.57031;24;0
1257.835;4.136;6.712963104;33.73842621;1.080729127;9.331597328;226.25;274.5;0;16.20367432;71852.36719;24;0
1297.377;4.365;25.02893448;28.53009224;3.971354246;0.774016201;425.555542;274.5;0;-4.629638672;64507.85156;24;0
1346.657;4.59;25.14467621;29.80323982;4.344617844;0.224247679;348.324646;274.5;0;-13.88891602;67781.91406;24;0
1330.371;4.578;36.14004517;28.41435242;4.214409828;0.83188659;296.71875;274.5;0;-30.09259033;91054.29688;24;0
1306.067;4.2;15.59606457;32.58102036;3.177083254;0.260416657;517.734375;274.5;0;-21.99072266;58048.21875;24;0
1326.313;4.287;15.45138931;35.27199173;2.569444418;1.642071724;341.918396;274.5;0;-2.314819336;68047.375;693;0
1274.432;4.102;16.75347137;31.07638931;3.407118082;0.629340291;420.928833;274.5;0;-42.82409668;87957.20313;693;0
1275.277;4.07;5.555555344;32.00231552;1.115451336;0.434027791;407.4045105;274.5;0;-13.88891602;83090.35938;693;0
1478.551;0.815741;0.347222209;20.74652863;0.377604157;8.695023537;294.9392395;274.5;0;16.20367432;53269.85547;694;0
1324.86;4.089;1.157407403;24.04513931;0.494791657;7.783565044;276.0763855;274.5;0;-35.87963867;0;693;0
1320.158;4.043;3.356481552;27.40162086;0.872395813;3.595196724;525.208313;274.5;0;15.04632568;55747.52734;195;0
1302.03;4.556;18.08448982;28.99305534;2.708333254;0.665509284;503.142334;274.5;0;-17.93981934;66720.05469;195;0
1342.848;4.607;17.53472137;29.10879707;5.3125;0.484664351;572.899292;274.5;0;-16.20367432;59375.54297;694;0
1351.655;4.403;21.52777863;32.37847137;4.600694656;0.622106493;566.137146;274.5;0;-6.944458008;71763.88281;596;0
1278.429;4.207;5.555555344;32.23379517;0.616319418;1.982060194;696.397583;121.5;497;-1.157409668;67604.9375;195;0
1308.865;3.918;2.459490776;30.7870369;0.668402791;1.642071724;792.135437;121.6;500;24.88427734;88.48813629;694;0
1318.611;4.336;4.48495388;31.42361069;0.711805582;1.3671875;740.885437;121.6;492;5.208312988;56809.38281;697;0
1330.383;4.461;10.12731457;30.96064758;1.514756918;0.651041687;716.684021;121.5;507;6.944458008;64773.31641;698;0
1302.984;4.299;20.65972137;27.25694466;3.255208254;0.499131948;530.190979;121.6;506;-7.523132324;71144.46094;591;0
1299.969;4.377;24.36342621;24.07407379;2.738715172;0.159143522;598.524292;121.6;498;-7.523132324;62738.08984;683;0
1307.358;4.322;8.825231552;33.1307869;1.566840291;0.1953125;791.423584;121.5;496;10.41668701;88.48813629;591;0
1297.081;4.255;13.88888931;28.61689758;2.556423664;0.115740739;794.270813;121.6;504;-7.523132324;88.48813629;591;0
1323.953;4.515;30.84490776;24.07407379;5.477430344;0.296585649;559.730896;121.5;508;-35.87963867;109725.2891;591;0
1303.559;4.579;40.91435242;23.29282379;11.42361069;0.180844903;626.996521;121.4;510;-27.19909668;73091.19531;591;0
1260.427;4.181;3.038194418;30.7870369;0.551215291;0.73061341;788.220459;121.5;491;10.41668701;68489.82031;591;0
1239.365;4.036;0.63657409;21.81712914;0.238715276;4.014757156;1081.840332;121.7;486;-102.430542;179719.4063;591;0
1306.466;4.458;0;5.092592716;0.78125;28.5;171.440979;121.8;484;16.20367432;129812.0938;591;0
1416.781;2.074732;4.079861164;30.43981552;0.616319418;0.737847209;746.579834;119.8;522;-12.152771;112733.8906;591;0
1328.905;4.501;8.680555344;31.79976845;1.171875;0.426793993;837.690979;121.6;490;-35.87963867;93001.03125;591;0
1330.084;4.184;22.62731552;24.85532379;3.489583254;0.260416657;628.776062;121.6;509;-33.56481934;62384.13281;416;0
1318.124;4.393;35.56134415;21.32523155;4.947916508;0.484664351;639.097229;121.4;504;-61.92132568;57605.77734;416;0
1324.682;4.564;3.645833254;35.85069275;0.646701396;0.260416657;705.651062;121.5;501;-10.99536133;88.48813629;416;0
1304.036;4.407;0.260416657;30.29513931;0.203993052;2.611400366;947.309021;121.5;501;-134.8379517;133263.125;416;0
1359.753;4.595;6.684027672;29.54282379;1.6015625;0.159143522;879.6875;121.8;498;-59.60650635;97248.46094;24;0
1303.394;4.477;19.09722137;30.09259224;3.28125;0.593171299;682.161438;121.8;494;-32.40740967;68666.79688;24;0
1289.769;4.475;14.23611069;30.1504631;1.870659709;0.9765625;668.993042;121.9;503;-2.314819336;100876.4688;24;0
1280.722;4.363;13.45486069;30.72916603;1.158854127;0.397858799;718.463562;121.7;507;-12.73150635;82028.5;24;0
1276.161;4.163;10.96643543;29.94791603;2.434895754;0.477430552;837.335083;121.6;508;-0.578674316;88.48813629;589;0
1292.135;4.167;7.23379612;33.70949173;1.827256918;0.354456007;802.100708;121.7;497;-1.736083984;59641.00391;694;0
1331.35;4.496;19.8495369;29.54282379;3.276909828;0.412326396;778.967041;121.7;504;-10.41668701;63711.45703;694;0
1324.576;4.464;6.336805344;35.6192131;1.202256918;0.173611104;751.206604;121.7;496;-2.314819336;70348.07031;693;0
1312.144;4.48;13.62847233;31.79976845;2.890625;0.079571761;707.430542;121.7;507;-10.99536133;78223.50781;694;0
1305.572;4.401;35.6192131;25.43402863;3.237847328;1.077835679;427.335083;121.3;450;-19.67590332;63269.01953;673;0
1274.257;4.439;31.51041603;25.20254707;5.746527672;0.484664351;743.020813;121.4;509;-35.30090332;63357.50391;673;0
1334.191;4.427;38.36805725;23.98726845;3.815104246;0.245949075;584.288208;121.7;507;-43.98150635;93266.5;673;0
1316.012;4.4;38.25231552;25.75231552;4.340277672;1.063368082;494.956604;121.7;512;-58.44909668;85037.10156;673;0
1309.998;4.463;9.722222328;33.56481552;2.339409828;0.694444418;626.640625;121.7;508;-20.83331299;103177.1641;694;0
1298.933;4.563;41.95602036;23.14814758;5.564236164;0.188078701;597.100708;121.6;510;-53.24072266;88.48813629;673;0
1293.485;4.419;32.23379517;25.92592621;5.277777672;0.701678216;707.430542;121.8;508;-46.875;67162.49219;673;0
1288.512;4.444;28.18287086;25.49189758;4.487847328;0.911458313;541.223938;121.7;479;-41.08795166;88.48813629;673;0
1292.217;4.436;28.70370293;29.80323982;2.721354246;0.83188659;536.597229;121.9;504;-29.51391602;110964.1172;694;0
1273.469;4.398;0;1.157407403;0.368923604;20.81163216;160.4079895;170.6;0;-9.259277344;120786.3047;694;0
1316.035;4.582;24.33448982;26.07060242;2.612847328;0.217013896;724.513916;121.7;504;1.736083984;105743.3203;497;0
1296.554;4.573;22.04861069;23.9004631;3.346354246;0.882523119;694.973938;121.8;505;-21.99072266;77427.11719;497;0
1259.761;4.337;16.66666603;25.37615776;1.671006918;8.897569656;318.0729065;121.7;500;-50.92590332;82647.91406;497;0
1234.895;4.25;41.78240585;18.98148155;6.419270992;1.02719903;575.034729;122.2;504;-35.30090332;71586.90625;597;0
1330.245;4.577;21.03587914;28.67476845;2.690972328;0.462962955;525.920166;122.5;503;-29.51391602;66366.10156;597;0
1276.308;4.41;20.83333397;29.10879707;2.256944418;1.229745388;505.277771;121.5;484;-41.08795166;116804.3438;596;0
1330.988;4.564;6.973379612;29.10879707;0.733506918;0.9765625;686.432312;121.8;505;-32.98608398;125299.2031;596;0
1233.472;4.346;1.41782403;27.11226845;0.347222209;3.262442112;842.317688;121.9;485;-10.41668701;83975.24219;596;0
1243.099;4.307;1.273148179;24.30555534;0.355902791;2.994791746;862.248291;121.9;478;-29.51391602;115123.0625;596;0
1245.92;4.353;13.07870388;29.42708397;1.284722209;0.426793993;828.4375;121.9;505;-78.70367432;118043.1797;596;0
1266.283;4.337;1.157407403;23.55323982;0.329861104;4.933449268;861.180542;121.9;491;-19.67590332;114238.1875;592;0
